College                         			 					,Rating               			,Location									,Affiliate 					,Average Fee 								,Exam Accepted								,Review									
"Bharati Vidyapeeth University - [BVU], Pune","7.7/10","Pune, Maharashtra","NAAC, UGC","₹2.4 L / yr BAMS - avg fee",,"3.6 / 5 16 reviews"
"University of Calicut, Calicut","7.6/10","Calicut, Kerala","NAAC-A","₹42.3 K / yr B.Sc (Medicine) - ...",,"3.3 / 5 3 reviews"
"Annamalai University, Chidambaram","7.6/10","Chidambaram, Tamil Nadu","NCTE, DCI, AICTE, MCI, UGC","₹28.7 K / yr Bachelor of Physio...",,"3.6 / 5 30 reviews"
"Noida International University - [NIU], Gautam Budh Nagar","7.5/10","Gautam Budh Nagar, Uttar Pradesh","AICTE, UGC","₹64 K / yr B.Sc (Medicine) - ...",,"3.4 / 5 16 reviews"
"Symbiosis International University - [SIU], Pune","7.3/10","Pune, Maharashtra","AICTE, UGC, NAAC-A","₹65.8 K / yr B.Sc (Nursing) - a...",,"3.8 / 5 4 reviews"
"Osmania University College for Women - [UCW], Hyderabad","7.3/10","Hyderabad, Telangana","UGC","-- UG Diploma in Medi...",,""
"Savitribai Phule Pune University - [SPPU], Pune","7.3/10","Pune, Maharashtra","UGC, NAAC-A","₹7.26 K / yr M.Sc (Medicine) - ...",,"3.2 / 5 9 reviews"
"Utkal University, Bhubaneswar","7.3/10","Bhubaneswar, Orissa","NAAC, UGC","₹14.8 K / yr M.Phil/Ph.D in Med...",,""
"Amity University, Noida","7.3/10","Noida, Uttar Pradesh","NAAC, UGC","₹1.04 L / yr Bachelor of Physio...",,"4 / 5 159 reviews"
"Banaras Hindu University - [BHU], Varanasi","7.3/10","Varanasi, Uttar Pradesh","NAAC, UGC, AIU","₹9.43 K / yr BAMS - avg fee",,"4.1 / 5 57 reviews"
"Madhav University - [MU], Sirohi","7.2/10","Sirohi, Rajasthan","NCTE, PCI, BCI, AICTE, UGC","₹1 L / yr BAMS - avg fee",,""
"Ayush and Health Science University - [AHSU], Raipur","7.2/10","Raipur, Chhattisgarh","AICTE","₹23.4 K / yr BAMS - avg fee",,""
"Sharda University - [SU], Greater Noida","7.2/10","Greater Noida, Uttar Pradesh","NCTE, DCI, COA, INC, MCI","₹1.23 L / yr Bachelor of Physio...",,"4 / 5 95 reviews"
